SNo,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
90,Christian Braun,DEN,23,79,48,31,33.9,15.4,6.0,10.4,58.0,1.1,2.8,39.7,2.2,2.7,82.7,1.2,3.9,5.2,2.6,1.0,1.1,0.5,2.2,29.1,6.0,0.0,6.1
91,Jared McCain,PHI,21,23,7,16,25.7,15.3,5.5,11.9,46.0,2.2,5.8,38.3,2.1,2.4,87.5,0.6,1.9,2.4,2.6,1.6,0.7,0.0,1.6,22.5,1.0,0.0,-1.2
92,Jonathan Kuminga,GSW,22,47,28,19,24.3,15.3,5.5,12.1,45.4,1.0,3.2,30.5,3.3,5.0,66.8,1.2,3.4,4.6,2.2,1.5,0.8,0.4,1.9,26.4,2.0,0.0,0.2
93,Mark Williams,CHA,23,44,9,35,26.6,15.3,6.1,10.2,60.4,0.0,0.1,0.0,3.0,3.7,80.4,3.0,7.2,10.2,2.5,1.6,0.7,1.2,2.4,35.4,21.0,0.0,-6.8
94,Kelly Oubre Jr.,PHI,29,60,21,39,34.6,15.1,5.8,12.4,47.0,1.2,4.0,29.3,2.3,3.1,75.1,1.6,4.5,6.1,1.8,1.3,1.5,0.5,3.0,29.9,10.0,0.0,-4.3
95,Chet Holmgren,OKC,22,32,26,6,27.4,15.0,5.2,10.7,49.0,1.4,3.6,37.9,3.2,4.2,75.4,1.5,6.5,8.0,2.0,1.8,0.7,2.2,2.3,34.6,11.0,0.0,9.2
96,Kyle Kuzma,MIL,29,65,25,40,29.8,14.8,5.7,13.0,43.6,1.5,4.8,30.7,2.0,3.1,63.4,0.8,4.9,5.7,2.3,2.2,0.6,0.3,1.8,25.5,6.0,0.0,-6.4
97,Stephon Castle,SAS,20,81,33,48,26.7,14.7,5.2,12.2,42.8,1.2,4.1,28.5,3.1,4.2,72.4,1.1,2.6,3.7,4.1,2.2,0.9,0.3,2.0,26.6,6.0,0.0,-3.0
98,Aaron Gordon,DEN,29,51,33,18,28.4,14.7,5.2,9.7,53.1,1.5,3.4,43.6,2.8,3.5,81.0,1.6,3.3,4.8,3.2,1.4,0.5,0.3,1.6,26.0,3.0,0.0,5.9
99,P.J. Washington,DAL,26,57,31,26,32.2,14.7,5.3,11.7,45.3,1.6,4.2,38.1,2.5,3.5,72.2,1.4,6.3,7.8,2.3,2.1,1.1,1.1,2.3,31.8,14.0,0.0,0.9
100,Josh Giddey,CHI,22,70,33,37,30.2,14.6,5.3,11.4,46.5,1.5,4.0,37.8,2.5,3.2,78.1,1.8,6.3,8.1,7.2,2.9,1.2,0.6,1.7,37.7,30.0,7.0,-1.0
101,Quentin Grimes,PHI,24,75,29,46,26.8,14.6,5.1,11.0,46.7,2.2,5.6,38.5,2.2,2.9,75.7,0.8,3.5,4.3,3.0,1.9,1.0,0.3,1.8,26.3,4.0,0.0,-3.5
102,Jakob Poeltl,TOR,29,57,21,36,29.6,14.5,6.4,10.2,62.7,0.0,0.1,33.3,1.7,2.5,67.4,3.3,6.3,9.6,2.8,1.9,1.2,1.2,3.1,35.4,23.0,0.0,-0.6
103,Jerami Grant,POR,31,47,22,25,32.4,14.4,4.6,12.2,37.3,2.3,6.3,36.5,3.0,3.5,84.9,0.6,2.9,3.5,2.1,1.4,0.9,1.0,2.3,26.0,0.0,0.0,-4.3
104,Deandre Ayton,POR,26,40,17,23,30.1,14.4,6.6,11.7,56.6,0.2,0.8,18.8,1.0,1.5,66.7,3.1,7.1,10.2,1.6,1.7,0.8,1.0,2.2,32.5,20.0,0.0,-4.1
105,Gradey Dick,TOR,21,54,15,39,29.4,14.4,4.9,12.0,41.0,2.1,6.0,35.0,2.5,2.9,85.8,0.8,2.8,3.6,1.8,1.5,0.9,0.2,2.2,23.1,0.0,0.0,-3.9
106,Payton Pritchard,BOS,27,80,59,21,28.4,14.3,5.1,10.8,47.2,3.2,7.8,40.7,0.9,1.1,84.5,1.3,2.6,3.8,3.5,1.0,0.9,0.2,1.5,26.2,5.0,0.0,5.4
107,Naz Reid,MIN,25,80,47,33,27.5,14.2,5.3,11.5,46.2,2.2,5.8,37.9,1.4,1.8,77.6,1.2,4.9,6.0,2.3,1.4,0.7,0.9,2.4,28.3,10.0,0.0,4.3
108,Dyson Daniels,ATL,22,76,37,39,33.8,14.1,6.0,12.1,49.3,1.1,3.1,34.0,1.1,1.8,59.3,1.6,4.3,5.9,4.4,2.0,3.0,0.7,2.3,37.0,9.0,0.0,-0.9
109,Tre Mann,CHA,24,13,6,7,24.5,14.1,5.4,12.4,43.5,1.8,4.6,40.0,1.5,1.6,90.5,0.9,2.0,2.9,3.0,1.9,0.5,0.3,1.8,22.7,0.0,0.0,-4.2
110,Fred VanVleet,HOU,31,60,41,19,35.2,14.1,4.8,12.7,37.8,2.7,7.7,34.5,1.9,2.3,81.0,0.5,3.2,3.7,5.6,1.5,1.6,0.4,2.3,31.3,4.0,0.0,4.4
111,Amen Thompson,HOU,22,69,43,26,32.3,14.1,5.6,10.1,55.7,0.4,1.3,27.5,2.4,3.6,68.4,2.8,5.4,8.2,3.8,2.0,1.4,1.3,2.4,35.7,21.0,3.0,3.9
112,Dillon Brooks,HOU,29,75,49,26,31.8,14.0,5.1,11.9,42.9,2.5,6.3,39.7,1.3,1.6,81.8,1.0,2.7,3.7,1.7,1.0,0.8,0.2,3.2,23.0,0.0,0.0,2.8
113,Tolu Smith,DET,24,1,0,1,22.4,14.0,6.0,9.0,66.7,0.0,0.0,0.0,2.0,3.0,66.7,4.0,4.0,8.0,0.0,2.0,0.0,0.0,3.0,21.6,0.0,0.0,7.0
114,Klay Thompson,DAL,35,72,33,39,27.3,14.0,5.0,12.2,41.2,3.0,7.7,39.1,0.9,1.0,90.5,0.6,2.8,3.4,2.0,1.2,0.7,0.4,1.1,23.2,0.0,0.0,-1.1
